t: 0.00000e+00   Fx1: 0.00000e+00   Fy1: 0.00000e+00   Fz1: 0.00000e+00  Fx2: 0.00000e+00   Fy2: 0.00000e+00   Fz2: 0.00000e+00  Fx3: 0.00000e+00   Fy3: 0.00000e+00   Fz3: 0.00000e+00 
t: 8.90004e-07   Fx1: -7.48066e-07   Fy1: 1.21871e-06   Fz1: -2.06230e-05  Fx2: 3.75072e-09   Fy2: 3.44523e-08   Fz2: -9.76285e-07  Fx3: -9.15983e-08   Fy3: -1.71101e-07   Fz3: 2.10517e-05 
t: 9.00000e-07   Fx1: 1.00836e-07   Fy1: -8.33778e-07   Fz1: -8.87580e-06  Fx2: 3.15578e-08   Fy2: -6.89669e-08   Fz2: 4.25574e-07  Fx3: -1.18048e-07   Fy3: -6.03305e-08   Fz3: 2.12910e-05 
t: 9.10002e-07   Fx1: -1.06130e-06   Fy1: -3.12514e-07   Fz1: 1.97405e-05  Fx2: -5.87847e-10   Fy2: -1.02982e-07   Fz2: -2.04225e-07  Fx3: -1.48270e-07   Fy3: -9.72154e-08   Fz3: 2.16976e-05 
t: 9.20004e-07   Fx1: 1.02400e-06   Fy1: 3.42285e-06   Fz1: 1.99802e-05  Fx2: 4.64942e-08   Fy2: -1.48040e-08   Fz2: -4.43297e-07  Fx3: -1.33295e-07   Fy3: -1.22204e-07   Fz3: 2.06701e-05 
t: 9.30005e-07   Fx1: 5.52442e-07   Fy1: 1.00478e-07   Fz1: 1.72984e-05  Fx2: 1.07031e-07   Fy2: -7.41718e-08   Fz2: 3.31990e-07  Fx3: -1.33713e-07   Fy3: -1.39489e-07   Fz3: 2.06713e-05 
t: 9.40002e-07   Fx1: -2.55735e-07   Fy1: -8.74282e-07   Fz1: 5.18421e-05  Fx2: -2.81684e-08   Fy2: -4.02476e-08   Fz2: -1.09589e-06  Fx3: -2.16450e-08   Fy3: -7.58901e-08   Fz3: 1.99351e-05 
t: 9.50003e-07   Fx1: -1.67005e-06   Fy1: 5.11548e-06   Fz1: -4.32750e-05  Fx2: 8.09669e-08   Fy2: 5.48255e-08   Fz2: -6.76107e-07  Fx3: 8.64118e-10   Fy3: -5.10686e-08   Fz3: 2.00872e-05 
t: 9.60005e-07   Fx1: 5.00383e-06   Fy1: -3.41016e-06   Fz1: 4.45191e-05  Fx2: -4.31749e-08   Fy2: -7.69734e-08   Fz2: -2.50770e-06  Fx3: -1.40303e-08   Fy3: -4.41455e-08   Fz3: 1.95687e-05 
t: 9.70001e-07   Fx1: -7.73991e-07   Fy1: 5.23359e-07   Fz1: 1.78583e-05  Fx2: -4.35918e-08   Fy2: -8.86590e-08   Fz2: -4.50391e-07  Fx3: -1.34238e-08   Fy3: -9.21107e-08   Fz3: 1.93040e-05 
t: 9.80003e-07   Fx1: 1.07029e-06   Fy1: 6.76569e-07   Fz1: 1.49506e-05  Fx2: 9.03423e-08   Fy2: -2.80582e-08   Fz2: 4.36880e-07  Fx3: -4.63063e-09   Fy3: 1.41575e-07   Fz3: 1.93359e-05 
t: 9.90005e-07   Fx1: -2.77927e-07   Fy1: 1.95064e-06   Fz1: -1.44401e-05  Fx2: -9.69633e-08   Fy2: -2.21508e-08   Fz2: 5.39454e-07  Fx3: -1.19042e-08   Fy3: 1.53382e-07   Fz3: 1.94207e-05 
t: 1.00000e-06   Fx1: -1.02400e-06   Fy1: 1.68691e-06   Fz1: 1.68903e-05  Fx2: 1.25403e-07   Fy2: 1.85118e-08   Fz2: -1.12573e-06  Fx3: -1.19460e-07   Fy3: 1.41814e-07   Fz3: 1.98521e-05 
t: 1.01000e-06   Fx1: 1.53397e-06   Fy1: 2.24462e-07   Fz1: 5.84711e-05  Fx2: 7.89572e-08   Fy2: -6.46542e-08   Fz2: -2.45436e-07  Fx3: -3.46604e-07   Fy3: 8.85401e-10   Fz3: 2.05304e-05 
t: 1.02000e-06   Fx1: -1.40609e-06   Fy1: 1.12280e-06   Fz1: 2.00400e-05  Fx2: 3.08878e-08   Fy2: 1.67214e-08   Fz2: -1.84121e-06  Fx3: -3.30399e-07   Fy3: -2.28127e-07   Fz3: 2.08682e-05 
t: 1.03000e-06   Fx1: -6.08903e-07   Fy1: -2.77695e-06   Fz1: 2.85213e-05  Fx2: -5.21530e-08   Fy2: -2.53507e-08   Fz2: -4.49886e-07  Fx3: -3.58355e-07   Fy3: -2.96329e-07   Fz3: 2.18494e-05 
t: 1.04000e-06   Fx1: -1.50386e-06   Fy1: 3.84113e-06   Fz1: -1.29612e-05  Fx2: -6.03501e-09   Fy2: 1.87225e-08   Fz2: -9.03433e-07  Fx3: -2.05219e-07   Fy3: -2.87864e-07   Fz3: 2.16134e-05 
t: 1.05000e-06   Fx1: -1.83450e-06   Fy1: -6.59796e-06   Fz1: 6.43209e-05  Fx2: -1.23293e-07   Fy2: 3.50597e-08   Fz2: -1.65956e-06  Fx3: -2.29519e-07   Fy3: -2.43364e-07   Fz3: 2.15902e-05 
t: 1.06000e-06   Fx1: 2.42560e-06   Fy1: 4.68118e-06   Fz1: 4.04578e-05  Fx2: 5.56115e-08   Fy2: -2.69039e-08   Fz2: -4.08656e-07  Fx3: -2.05721e-07   Fy3: -1.21309e-07   Fz3: 2.08677e-05 
t: 1.07000e-06   Fx1: -2.37984e-06   Fy1: -2.69341e-06   Fz1: 1.91278e-05  Fx2: -2.99162e-08   Fy2: -1.90318e-08   Fz2: -1.46218e-07  Fx3: -3.09989e-07   Fy3: -1.07967e-07   Fz3: 2.12189e-05 
t: 1.08000e-06   Fx1: -7.90374e-07   Fy1: 3.89533e-07   Fz1: 3.91226e-05  Fx2: -2.51792e-08   Fy2: -9.01285e-09   Fz2: -5.77127e-07  Fx3: -3.67746e-07   Fy3: -8.53466e-08   Fz3: 2.01801e-05 
t: 1.09001e-06   Fx1: 2.16713e-06   Fy1: -5.40812e-07   Fz1: -5.93205e-06  Fx2: 5.97622e-08   Fy2: -8.73220e-09   Fz2: -4.95063e-07  Fx3: -2.23194e-07   Fy3: -7.10165e-08   Fz3: 1.95837e-05 
t: 1.10000e-06   Fx1: -2.93018e-06   Fy1: -9.06396e-07   Fz1: 3.56862e-05  Fx2: 1.49604e-08   Fy2: -2.89240e-08   Fz2: 5.20666e-07  Fx3: -7.82299e-08   Fy3: -1.87657e-08   Fz3: 1.99861e-05 
t: 1.11000e-06   Fx1: 1.47360e-06   Fy1: 2.01934e-06   Fz1: -1.52533e-05  Fx2: 1.03601e-07   Fy2: -9.14266e-08   Fz2: 5.04792e-07  Fx3: 4.16466e-08   Fy3: -1.65366e-08   Fz3: 2.00331e-05 
t: 1.12000e-06   Fx1: -6.17169e-07   Fy1: -2.69745e-06   Fz1: 4.70275e-05  Fx2: -6.16811e-08   Fy2: 1.02835e-08   Fz2: -4.70430e-07  Fx3: 1.30485e-07   Fy3: -5.13159e-08   Fz3: 2.06237e-05 
t: 1.13000e-06   Fx1: -1.59828e-07   Fy1: 4.05601e-06   Fz1: 8.40904e-07  Fx2: -5.89457e-08   Fy2: 3.43868e-08   Fz2: -1.15521e-06  Fx3: -8.08343e-08   Fy3: -3.22602e-08   Fz3: 1.92275e-05 
t: 1.14000e-06   Fx1: 1.53615e-06   Fy1: -3.23106e-06   Fz1: 2.86595e-05  Fx2: 7.21348e-08   Fy2: -9.05077e-09   Fz2: 2.95048e-08  Fx3: -9.85583e-08   Fy3: -3.41074e-08   Fz3: 1.94648e-05 
t: 1.15000e-06   Fx1: 8.05557e-08   Fy1: 9.47499e-07   Fz1: -2.23800e-05  Fx2: 3.17903e-08   Fy2: -1.34987e-08   Fz2: -1.73790e-06  Fx3: -3.97465e-08   Fy3: -3.53501e-08   Fz3: 2.06989e-05 
t: 1.16000e-06   Fx1: -7.48501e-07   Fy1: 7.96228e-07   Fz1: 3.91266e-06  Fx2: 4.04339e-08   Fy2: 6.31541e-08   Fz2: -5.32567e-07  Fx3: 2.86880e-08   Fy3: -6.35716e-08   Fz3: 1.99829e-05 
t: 1.17000e-06   Fx1: -2.25804e-06   Fy1: -1.14658e-06   Fz1: 5.77877e-06  Fx2: -8.80710e-08   Fy2: 6.56129e-08   Fz2: -1.91398e-06  Fx3: -7.67256e-08   Fy3: -3.45576e-08   Fz3: 2.03131e-05 
t: 1.18000e-06   Fx1: 2.26336e-06   Fy1: 3.67418e-06   Fz1: 1.54843e-05  Fx2: 5.45003e-08   Fy2: -5.19131e-08   Fz2: -1.49034e-07  Fx3: -7.03386e-08   Fy3: -3.01256e-09   Fz3: 1.94562e-05 
t: 1.19000e-06   Fx1: -2.83192e-06   Fy1: -1.42253e-06   Fz1: 1.03193e-04  Fx2: -1.12768e-08   Fy2: -2.34854e-08   Fz2: 1.13098e-06  Fx3: -2.26880e-08   Fy3: 7.49339e-08   Fz3: 1.87882e-05 
t: 1.20000e-06   Fx1: 1.17786e-06   Fy1: -7.37240e-07   Fz1: 1.13771e-04  Fx2: 1.65127e-09   Fy2: 2.58585e-08   Fz2: -2.54963e-07  Fx3: -9.62581e-08   Fy3: 1.16159e-07   Fz3: 1.96553e-05 
t: 1.21000e-06   Fx1: -2.68038e-06   Fy1: 1.44326e-06   Fz1: 5.37381e-05  Fx2: -1.68543e-08   Fy2: -9.29121e-08   Fz2: -1.80217e-06  Fx3: -2.84753e-07   Fy3: -4.82475e-08   Fz3: 2.11421e-05 
t: 1.22001e-06   Fx1: 5.46522e-08   Fy1: -2.80242e-06   Fz1: -2.05594e-05  Fx2: 2.91419e-08   Fy2: -4.93782e-08   Fz2: -2.25915e-07  Fx3: -4.02522e-07   Fy3: -8.69521e-08   Fz3: 2.11723e-05 
t: 1.23000e-06   Fx1: 1.32252e-06   Fy1: 1.51372e-06   Fz1: 1.07640e-04  Fx2: 4.33954e-08   Fy2: -7.10447e-08   Fz2: 7.83483e-07  Fx3: -2.07834e-07   Fy3: -1.10568e-07   Fz3: 2.13209e-05 
t: 1.24000e-06   Fx1: -1.11179e-06   Fy1: -2.71444e-06   Fz1: -5.77080e-05  Fx2: 3.64275e-08   Fy2: -6.59605e-09   Fz2: -2.59778e-06  Fx3: 1.33002e-07   Fy3: -9.00369e-08   Fz3: 2.10540e-05 
t: 1.25001e-06   Fx1: 6.48111e-07   Fy1: 7.20493e-07   Fz1: -1.54520e-05  Fx2: 8.04837e-08   Fy2: -1.08455e-07   Fz2: -6.02270e-08  Fx3: 5.96936e-07   Fy3: -4.87704e-08   Fz3: 2.08007e-05 
t: 1.26000e-06   Fx1: 1.20298e-06   Fy1: 1.39873e-06   Fz1: -3.06533e-05  Fx2: -3.17783e-08   Fy2: -3.42816e-09   Fz2: -4.74502e-07  Fx3: 1.20586e-07   Fy3: 1.66383e-09   Fz3: 2.08662e-05 
t: 1.27000e-06   Fx1: -8.56398e-07   Fy1: -2.45884e-06   Fz1: 2.55682e-05  Fx2: 8.75427e-08   Fy2: 4.29344e-08   Fz2: -2.53861e-06  Fx3: -1.80565e-08   Fy3: 6.03612e-08   Fz3: 2.05174e-05 
t: 1.28000e-06   Fx1: -2.97174e-07   Fy1: 2.77395e-06   Fz1: 1.22968e-05  Fx2: -8.34687e-09   Fy2: -3.63170e-08   Fz2: -9.82152e-07  Fx3: -7.25003e-08   Fy3: -6.02799e-08   Fz3: 2.08649e-05 
t: 1.29000e-06   Fx1: 8.89771e-07   Fy1: -2.17707e-06   Fz1: 1.50300e-05  Fx2: -8.02832e-08   Fy2: 1.20002e-08   Fz2: 6.02591e-07  Fx3: -1.38745e-07   Fy3: -1.62402e-07   Fz3: 2.06358e-05 
t: 1.30000e-06   Fx1: -1.10887e-06   Fy1: 2.65699e-06   Fz1: 4.04598e-05  Fx2: -8.95286e-09   Fy2: 2.19457e-08   Fz2: 1.44315e-06  Fx3: -3.41838e-07   Fy3: -1.18490e-07   Fz3: 1.97873e-05 
t: 1.31000e-06   Fx1: -2.55929e-06   Fy1: -4.97621e-06   Fz1: -1.47981e-05  Fx2: 1.18327e-07   Fy2: -4.10803e-08   Fz2: 1.26091e-06  Fx3: -1.17254e-07   Fy3: -9.56428e-08   Fz3: 1.95713e-05 
t: 1.32000e-06   Fx1: -3.39010e-06   Fy1: -1.05160e-06   Fz1: -3.26529e-05  Fx2: -2.05658e-08   Fy2: -4.01746e-08   Fz2: -1.32096e-06  Fx3: 1.60343e-07   Fy3: -1.09360e-07   Fz3: 1.90212e-05 
t: 1.33000e-06   Fx1: -7.44278e-07   Fy1: -2.06263e-07   Fz1: 3.89709e-05  Fx2: 1.93032e-08   Fy2: -5.35102e-08   Fz2: 6.51546e-07  Fx3: 8.79634e-08   Fy3: -1.57727e-07   Fz3: 1.83843e-05 
t: 1.34000e-06   Fx1: -9.34988e-08   Fy1: -4.19073e-07   Fz1: 5.06028e-05  Fx2: -6.93115e-08   Fy2: -4.43351e-08   Fz2: -7.83196e-07  Fx3: -1.72014e-07   Fy3: -1.51831e-07   Fz3: 1.88654e-05 
t: 1.35000e-06   Fx1: -9.77465e-07   Fy1: -8.78893e-08   Fz1: 4.94835e-05  Fx2: -5.96227e-08   Fy2: 1.98500e-08   Fz2: -1.16439e-06  Fx3: -1.08540e-07   Fy3: -1.12826e-07   Fz3: 2.04005e-05 
t: 1.36000e-06   Fx1: 2.30275e-07   Fy1: -6.30472e-07   Fz1: 5.52371e-05  Fx2: -5.78627e-08   Fy2: -2.20812e-08   Fz2: -1.40469e-06  Fx3: -4.02752e-08   Fy3: -7.39237e-08   Fz3: 2.08784e-05 
t: 1.37000e-06   Fx1: -1.17767e-06   Fy1: 2.49005e-06   Fz1: 2.73358e-05  Fx2: 4.84034e-08   Fy2: -4.69661e-08   Fz2: 5.20938e-07  Fx3: -2.05870e-08   Fy3: -5.91693e-08   Fz3: 2.11140e-05 
t: 1.38001e-06   Fx1: -1.44330e-06   Fy1: -4.30439e-07   Fz1: 5.45258e-05  Fx2: 6.84279e-08   Fy2: 4.53365e-08   Fz2: 8.98638e-07  Fx3: -1.08514e-08   Fy3: -7.19441e-08   Fz3: 2.16315e-05 
t: 1.39000e-06   Fx1: 1.15987e-07   Fy1: -1.72959e-06   Fz1: 1.68257e-05  Fx2: 2.10460e-09   Fy2: -3.24703e-08   Fz2: -5.34727e-07  Fx3: -1.65591e-07   Fy3: -2.43033e-07   Fz3: 2.11515e-05 
t: 1.40000e-06   Fx1: -1.22420e-06   Fy1: 2.01958e-06   Fz1: 4.85375e-05  Fx2: -3.38133e-08   Fy2: -8.83507e-08   Fz2: 4.38505e-07  Fx3: -1.01812e-07   Fy3: -2.30033e-07   Fz3: 1.99653e-05 
t: 1.41001e-06   Fx1: 2.07101e-06   Fy1: -2.65165e-06   Fz1: 2.43039e-05  Fx2: 1.19591e-08   Fy2: -5.45530e-08   Fz2: -4.53808e-07  Fx3: -8.38579e-08   Fy3: -1.97496e-07   Fz3: 1.89986e-05 
t: 1.42000e-06   Fx1: -7.07516e-07   Fy1: 1.95829e-06   Fz1: 6.53178e-05  Fx2: 8.12599e-09   Fy2: -3.46178e-08   Fz2: 1.54457e-07  Fx3: -1.31038e-07   Fy3: -2.66910e-07   Fz3: 1.95235e-05 
t: 1.43000e-06   Fx1: -2.38474e-06   Fy1: 5.34647e-07   Fz1: 1.54679e-04  Fx2: -1.52123e-08   Fy2: 5.97869e-08   Fz2: 4.21519e-07  Fx3: -2.83978e-07   Fy3: -3.72271e-07   Fz3: 1.96269e-05 
t: 1.44001e-06   Fx1: 2.02952e-07   Fy1: -1.59560e-07   Fz1: 1.21230e-05  Fx2: -2.13845e-08   Fy2: -6.81604e-09   Fz2: -1.51730e-06  Fx3: -3.46821e-07   Fy3: -1.81552e-07   Fz3: 2.08481e-05 
t: 1.45000e-06   Fx1: -9.16839e-07   Fy1: 2.51886e-06   Fz1: 8.03212e-05  Fx2: -3.52444e-08   Fy2: 7.37704e-08   Fz2: 1.62528e-07  Fx3: -1.39777e-07   Fy3: -2.96481e-07   Fz3: 1.97025e-05 
t: 1.46000e-06   Fx1: 1.33738e-06   Fy1: -1.63865e-06   Fz1: 4.52299e-05  Fx2: -5.52029e-08   Fy2: 5.93365e-09   Fz2: -1.56557e-06  Fx3: -2.72483e-07   Fy3: -2.28047e-07   Fz3: 2.02502e-05 
t: 1.47000e-06   Fx1: -2.33994e-06   Fy1: 2.67446e-06   Fz1: 5.53989e-05  Fx2: -8.88075e-09   Fy2: 5.33229e-08   Fz2: -1.38960e-06  Fx3: -1.48381e-07   Fy3: -1.59659e-07   Fz3: 1.99705e-05 
t: 1.48000e-06   Fx1: 2.72374e-06   Fy1: -1.23098e-06   Fz1: 4.00186e-05  Fx2: 6.73076e-08   Fy2: 1.72520e-08   Fz2: 9.70398e-07  Fx3: -7.85803e-08   Fy3: -3.16510e-07   Fz3: 2.03069e-05 
t: 1.49000e-06   Fx1: 4.92790e-07   Fy1: -7.78008e-07   Fz1: -3.00253e-05  Fx2: 3.87411e-08   Fy2: 2.16104e-09   Fz2: -9.28301e-08  Fx3: -4.37337e-08   Fy3: -3.46258e-07   Fz3: 1.97986e-05 
t: 1.50000e-06   Fx1: 4.86319e-07   Fy1: -1.00474e-06   Fz1: 8.18151e-05  Fx2: 4.33025e-08   Fy2: 4.20269e-09   Fz2: 1.53205e-06  Fx3: -3.78156e-07   Fy3: -4.40555e-07   Fz3: 2.05027e-05 
t: 1.51000e-06   Fx1: -5.33071e-07   Fy1: 2.82321e-06   Fz1: 1.22035e-05  Fx2: -2.68192e-08   Fy2: -1.47514e-08   Fz2: 3.08396e-08  Fx3: -3.66925e-07   Fy3: -2.86379e-07   Fz3: 2.09376e-05 
t: 1.52000e-06   Fx1: -1.32468e-06   Fy1: -1.55832e-06   Fz1: 3.08220e-05  Fx2: 6.43570e-08   Fy2: 2.63737e-08   Fz2: -2.70247e-06  Fx3: -2.49038e-07   Fy3: -2.77848e-07   Fz3: 1.98721e-05 
t: 1.53000e-06   Fx1: 8.12121e-07   Fy1: -1.59531e-06   Fz1: 6.10102e-05  Fx2: 6.01257e-08   Fy2: -4.17107e-08   Fz2: 8.90612e-07  Fx3: -9.17373e-08   Fy3: -3.47309e-07   Fz3: 1.99167e-05 
t: 1.54001e-06   Fx1: 3.27662e-07   Fy1: 1.57264e-06   Fz1: -9.55848e-05  Fx2: -7.85194e-08   Fy2: -6.07025e-08   Fz2: -5.75121e-07  Fx3: -1.92141e-08   Fy3: -3.45964e-07   Fz3: 2.06589e-05 
t: 1.55000e-06   Fx1: 6.49474e-07   Fy1: -2.77137e-07   Fz1: 8.99988e-05  Fx2: -1.53856e-08   Fy2: -3.14049e-08   Fz2: -1.45541e-07  Fx3: -7.14272e-08   Fy3: -4.11236e-07   Fz3: 2.10854e-05 
t: 1.56000e-06   Fx1: -5.79631e-07   Fy1: -7.42604e-07   Fz1: -1.20237e-05  Fx2: 7.90449e-09   Fy2: 2.43438e-08   Fz2: 1.62013e-07  Fx3: -1.09576e-08   Fy3: -3.20521e-07   Fz3: 2.02043e-05 
t: 1.57001e-06   Fx1: 8.97973e-07   Fy1: -7.57803e-07   Fz1: 7.84490e-05  Fx2: 6.17241e-09   Fy2: -1.58519e-08   Fz2: 5.28501e-07  Fx3: -1.26923e-07   Fy3: -2.75557e-07   Fz3: 2.06707e-05 
t: 1.58000e-06   Fx1: -2.67131e-06   Fy1: -1.38904e-06   Fz1: -1.23649e-05  Fx2: 1.11421e-08   Fy2: 6.63922e-09   Fz2: 1.14144e-06  Fx3: -1.79268e-07   Fy3: -2.80074e-07   Fz3: 2.03853e-05 
t: 1.59000e-06   Fx1: 1.40066e-06   Fy1: -9.27743e-07   Fz1: 7.99013e-05  Fx2: 2.00764e-08   Fy2: -9.95748e-09   Fz2: -1.26657e-06  Fx3: -1.09415e-07   Fy3: -3.19740e-07   Fz3: 2.08989e-05 
t: 1.60001e-06   Fx1: -6.27291e-07   Fy1: -1.93880e-06   Fz1: 1.81792e-05  Fx2: -2.15194e-08   Fy2: -1.67397e-08   Fz2: 3.70670e-08  Fx3: -1.19502e-07   Fy3: -3.13351e-07   Fz3: 2.07501e-05 
t: 1.61000e-06   Fx1: -2.25408e-06   Fy1: -6.31137e-07   Fz1: 1.92537e-05  Fx2: -7.57823e-08   Fy2: 3.16435e-08   Fz2: -5.74714e-07  Fx3: -6.73031e-08   Fy3: -4.24710e-07   Fz3: 2.08580e-05 
t: 1.62000e-06   Fx1: -1.81386e-06   Fy1: 1.86901e-06   Fz1: 4.81507e-05  Fx2: 5.45835e-09   Fy2: 4.16791e-08   Fz2: -1.09695e-06  Fx3: -1.94680e-08   Fy3: -4.45683e-07   Fz3: 2.08410e-05 
t: 1.63000e-06   Fx1: -1.52594e-06   Fy1: 1.80513e-06   Fz1: -2.72766e-05  Fx2: -8.15186e-08   Fy2: -3.18255e-08   Fz2: 1.21410e-06  Fx3: -7.53566e-08   Fy3: -1.54401e-07   Fz3: 2.04779e-05 
t: 1.64000e-06   Fx1: -2.35548e-06   Fy1: 9.47642e-07   Fz1: 9.16060e-05  Fx2: -4.34154e-08   Fy2: 3.87022e-08   Fz2: -7.35484e-07  Fx3: -1.05242e-07   Fy3: -1.77492e-07   Fz3: 1.98022e-05 
t: 1.65000e-06   Fx1: 2.24499e-06   Fy1: -3.13784e-06   Fz1: -5.88450e-05  Fx2: 2.44561e-08   Fy2: -3.80104e-08   Fz2: -1.08008e-06  Fx3: -5.66199e-08   Fy3: -2.36103e-07   Fz3: 2.00768e-05 
t: 1.66000e-06   Fx1: -1.59199e-06   Fy1: 2.13668e-06   Fz1: 1.25509e-04  Fx2: 3.33123e-08   Fy2: -1.18362e-08   Fz2: 8.01605e-07  Fx3: -1.84510e-07   Fy3: -1.58354e-07   Fz3: 2.01944e-05 
t: 1.67001e-06   Fx1: 1.72320e-07   Fy1: -5.23462e-06   Fz1: -3.83005e-05  Fx2: 7.82511e-09   Fy2: 2.93806e-08   Fz2: -6.65797e-08  Fx3: -2.13759e-07   Fy3: -3.38866e-07   Fz3: 2.01160e-05 
t: 1.68000e-06   Fx1: -5.30077e-07   Fy1: -2.08564e-06   Fz1: 1.31144e-04  Fx2: -9.53914e-09   Fy2: -1.09979e-08   Fz2: -2.22491e-07  Fx3: -8.71970e-08   Fy3: -3.75614e-07   Fz3: 2.05374e-05 
t: 1.69000e-06   Fx1: 1.46994e-06   Fy1: 1.16100e-07   Fz1: 4.01003e-05  Fx2: -1.84902e-08   Fy2: -6.18087e-08   Fz2: -1.32457e-06  Fx3: -1.43586e-07   Fy3: -2.82760e-07   Fz3: 1.97518e-05 
t: 1.70001e-06   Fx1: -1.22457e-07   Fy1: 2.14213e-07   Fz1: 2.80613e-05  Fx2: -1.48892e-08   Fy2: 5.27988e-08   Fz2: 1.04798e-07  Fx3: -3.98035e-07   Fy3: -2.36942e-07   Fz3: 2.07592e-05 
t: 1.71000e-06   Fx1: 1.57727e-06   Fy1: -2.64646e-06   Fz1: 9.93663e-05  Fx2: -5.39503e-08   Fy2: -1.01510e-08   Fz2: -1.22450e-06  Fx3: -6.10900e-07   Fy3: -2.38353e-07   Fz3: 2.10596e-05 
t: 1.72000e-06   Fx1: -1.62730e-06   Fy1: 1.24083e-06   Fz1: 4.93088e-06  Fx2: 8.09677e-08   Fy2: 3.05047e-08   Fz2: 1.77829e-06  Fx3: -5.16861e-07   Fy3: -2.61484e-07   Fz3: 2.26220e-05 
t: 1.73001e-06   Fx1: -1.37190e-06   Fy1: -3.37084e-06   Fz1: 9.41370e-06  Fx2: 3.13286e-08   Fy2: 4.04866e-08   Fz2: 9.10777e-07  Fx3: -4.34292e-07   Fy3: -2.64718e-07   Fz3: 2.22036e-05 
t: 1.74000e-06   Fx1: -1.48830e-06   Fy1: 5.29199e-06   Fz1: 3.03781e-05  Fx2: 2.92963e-08   Fy2: -1.91925e-08   Fz2: -4.86327e-07  Fx3: -4.52681e-07   Fy3: -1.18037e-07   Fz3: 2.25934e-05 
t: 1.75000e-06   Fx1: 3.18497e-06   Fy1: 5.95996e-07   Fz1: 4.11240e-05  Fx2: -4.96747e-08   Fy2: -8.15401e-08   Fz2: -1.25212e-06  Fx3: -3.79998e-07   Fy3: 9.69358e-08   Fz3: 2.21476e-05 
t: 1.76001e-06   Fx1: -2.01430e-06   Fy1: 2.33250e-06   Fz1: -4.36491e-05  Fx2: 1.90050e-08   Fy2: 1.64125e-08   Fz2: -9.08778e-08  Fx3: -3.03482e-07   Fy3: 1.60299e-07   Fz3: 2.21070e-05 
t: 1.77000e-06   Fx1: 8.84889e-07   Fy1: -2.27505e-06   Fz1: 6.68430e-05  Fx2: -4.94919e-09   Fy2: -4.53766e-08   Fz2: 1.33283e-06  Fx3: -2.34524e-07   Fy3: 4.96918e-08   Fz3: 2.14327e-05 
t: 1.78000e-06   Fx1: -3.56804e-07   Fy1: 9.63613e-07   Fz1: 1.68569e-05  Fx2: -4.64182e-08   Fy2: 3.00162e-08   Fz2: 1.91169e-07  Fx3: -1.84369e-07   Fy3: -1.32563e-07   Fz3: 2.14079e-05 
t: 1.79000e-06   Fx1: 6.43483e-07   Fy1: 1.32005e-06   Fz1: 5.65269e-05  Fx2: 3.36043e-08   Fy2: -2.79574e-08   Fz2: -1.02571e-06  Fx3: -8.10330e-08   Fy3: -1.70523e-07   Fz3: 2.13595e-05 
t: 1.80000e-06   Fx1: -4.43101e-07   Fy1: -2.51248e-06   Fz1: 5.86730e-05  Fx2: -1.13270e-08   Fy2: -1.14378e-08   Fz2: -1.49967e-06  Fx3: -9.88258e-08   Fy3: -2.47105e-07   Fz3: 2.09664e-05 
t: 1.81000e-06   Fx1: -1.87119e-06   Fy1: 2.34492e-06   Fz1: 8.46961e-06  Fx2: -6.26384e-08   Fy2: -1.07062e-08   Fz2: -1.32257e-06  Fx3: -1.45535e-07   Fy3: -3.85192e-07   Fz3: 2.10956e-05 
t: 1.82000e-06   Fx1: 6.25196e-06   Fy1: 9.47057e-07   Fz1: 6.70072e-06  Fx2: -1.93209e-08   Fy2: 1.38816e-08   Fz2: -7.06327e-07  Fx3: -9.47769e-08   Fy3: -3.80387e-07   Fz3: 2.04931e-05 
t: 1.83001e-06   Fx1: -5.80418e-06   Fy1: -7.22709e-07   Fz1: 3.59548e-05  Fx2: -2.00431e-08   Fy2: 1.16702e-08   Fz2: -1.64600e-08  Fx3: 3.11268e-08   Fy3: -4.40768e-07   Fz3: 2.02024e-05 
t: 1.84000e-06   Fx1: 2.71659e-06   Fy1: 9.67906e-08   Fz1: 4.13747e-05  Fx2: -4.44077e-08   Fy2: 1.07741e-08   Fz2: 1.27229e-07  Fx3: 1.60492e-07   Fy3: -5.69623e-07   Fz3: 1.91868e-05 
t: 1.85000e-06   Fx1: -2.51836e-06   Fy1: 1.45400e-06   Fz1: 2.10725e-05  Fx2: 1.34114e-07   Fy2: 7.13042e-09   Fz2: -1.42182e-06  Fx3: 1.79234e-07   Fy3: -3.85771e-07   Fz3: 1.96725e-05 
t: 1.86001e-06   Fx1: 2.72810e-06   Fy1: -1.59925e-07   Fz1: 4.11652e-05  Fx2: 4.82160e-08   Fy2: -8.61799e-08   Fz2: -1.73392e-06  Fx3: -1.68415e-07   Fy3: -2.46876e-08   Fz3: 2.00913e-05 
t: 1.87000e-06   Fx1: 1.50826e-06   Fy1: -1.94107e-07   Fz1: 4.60177e-05  Fx2: 3.80627e-08   Fy2: 2.74746e-08   Fz2: -7.77779e-07  Fx3: -1.69087e-07   Fy3: -4.91791e-08   Fz3: 2.13808e-05 
t: 1.88000e-06   Fx1: 4.51853e-07   Fy1: 5.19713e-07   Fz1: 5.52347e-05  Fx2: -5.51066e-08   Fy2: -6.27362e-08   Fz2: -1.10997e-06  Fx3: -7.40541e-08   Fy3: -1.26825e-07   Fz3: 2.08954e-05 
