t: 0.00000e+00   Fx1: 0.00000e+00   Fy1: 0.00000e+00   Fz1: 0.00000e+00  Fx2: 0.00000e+00   Fy2: 0.00000e+00   Fz2: 0.00000e+00  Fx3: 0.00000e+00   Fy3: 0.00000e+00   Fz3: 0.00000e+00 
t: 2.30001e-07   Fx1: -7.79867e-07   Fy1: 3.14705e-07   Fz1: 2.14527e-05  Fx2: -1.88888e-08   Fy2: -6.99113e-08   Fz2: -5.94506e-07  Fx3: -1.08611e-08   Fy3: -1.11422e-07   Fz3: 2.19087e-05 
t: 2.40004e-07   Fx1: 1.48194e-06   Fy1: 6.61610e-07   Fz1: -2.58088e-06  Fx2: 6.20994e-08   Fy2: -2.44378e-08   Fz2: -4.47105e-07  Fx3: -1.87431e-08   Fy3: -6.34241e-08   Fz3: 2.14104e-05 
t: 2.50004e-07   Fx1: 6.91581e-07   Fy1: -1.90443e-06   Fz1: 7.55133e-05  Fx2: -1.95555e-09   Fy2: -2.92233e-08   Fz2: -8.58076e-07  Fx3: 1.57939e-08   Fy3: 2.92793e-08   Fz3: 2.11593e-05 
t: 2.60005e-07   Fx1: -7.53819e-07   Fy1: 3.36604e-06   Fz1: -5.54036e-05  Fx2: 2.46674e-08   Fy2: 4.63311e-08   Fz2: 2.05781e-07  Fx3: -1.71910e-08   Fy3: 1.13646e-08   Fz3: 2.07470e-05 
t: 2.70000e-07   Fx1: 8.32068e-07   Fy1: -2.70652e-06   Fz1: 1.07048e-04  Fx2: 9.82816e-09   Fy2: -1.97358e-08   Fz2: 5.31035e-07  Fx3: -9.85089e-09   Fy3: 1.91683e-08   Fz3: 2.17643e-05 
t: 2.80001e-07   Fx1: -7.96973e-07   Fy1: 3.04932e-06   Fz1: -1.17403e-04  Fx2: -3.18564e-08   Fy2: 3.11090e-08   Fz2: 3.60325e-07  Fx3: -5.03198e-09   Fy3: 2.29263e-08   Fz3: 2.14174e-05 
t: 2.90001e-07   Fx1: -2.36707e-06   Fy1: -2.09292e-06   Fz1: 8.06585e-05  Fx2: -3.46169e-08   Fy2: 3.35293e-08   Fz2: -1.56647e-06  Fx3: 3.04580e-08   Fy3: 3.14163e-08   Fz3: 2.09232e-05 
t: 3.00002e-07   Fx1: 1.02916e-07   Fy1: 1.79742e-06   Fz1: 3.10744e-05  Fx2: 8.78886e-08   Fy2: 3.77442e-08   Fz2: -1.66947e-06  Fx3: 3.14713e-08   Fy3: 2.55894e-08   Fz3: 2.00721e-05 
t: 3.10002e-07   Fx1: 2.09631e-06   Fy1: 3.73109e-06   Fz1: -7.80771e-05  Fx2: -6.06380e-08   Fy2: -8.52367e-09   Fz2: -6.73410e-07  Fx3: -2.36256e-08   Fy3: 2.14640e-08   Fz3: 1.92979e-05 
t: 3.20003e-07   Fx1: 6.42343e-07   Fy1: -4.66368e-06   Fz1: 1.76167e-04  Fx2: 2.61859e-08   Fy2: -6.34194e-09   Fz2: -1.22511e-06  Fx3: -4.07133e-08   Fy3: 6.09644e-08   Fz3: 1.89869e-05 
t: 3.30004e-07   Fx1: 8.34035e-07   Fy1: 3.33171e-06   Fz1: -6.33388e-05  Fx2: -2.81496e-08   Fy2: -2.21775e-08   Fz2: -1.16335e-06  Fx3: -3.45684e-08   Fy3: 9.19378e-09   Fz3: 1.89243e-05 
t: 3.40004e-07   Fx1: 1.25397e-07   Fy1: -2.03717e-07   Fz1: 5.73507e-05  Fx2: -4.08353e-08   Fy2: 1.34860e-08   Fz2: -2.62171e-07  Fx3: 6.63224e-09   Fy3: -2.72154e-08   Fz3: 1.84258e-05 
t: 3.50005e-07   Fx1: -3.00696e-07   Fy1: -2.34358e-07   Fz1: -2.88967e-05  Fx2: -1.28741e-08   Fy2: -1.14081e-09   Fz2: 8.36795e-07  Fx3: 5.64169e-08   Fy3: -8.11157e-08   Fz3: 1.93454e-05 
t: 3.60000e-07   Fx1: 1.06055e-06   Fy1: -1.89700e-06   Fz1: 9.82727e-05  Fx2: -4.63551e-08   Fy2: -2.45747e-08   Fz2: 1.10859e-06  Fx3: -1.02704e-08   Fy3: -1.02110e-07   Fz3: 2.09369e-05 
t: 3.70001e-07   Fx1: 1.56255e-06   Fy1: 1.99693e-06   Fz1: 6.41775e-05  Fx2: 1.76585e-08   Fy2: 3.60797e-08   Fz2: -7.39829e-08  Fx3: -4.60855e-09   Fy3: -8.82794e-08   Fz3: 2.14193e-05 
